,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
161,1,2,350,1157,33,0,2,4,18,4,10,0,1,129558,169500
162,80,3,64,1473,43,2,1,4,6,22,9,0,1,59854,594500
163,1,2,295,1283,35,2,1,6,18,4,0,0,1,185385,233500
164,1,2,82,1567,41,2,2,4,18,4,9,0,1,112000,285000
165,1,2,84,1586,31,2,2,6,18,9,9,0,1,178000,133999
166,1,2,294,1154,36,2,2,4,18,4,0,0,1,132500,237000
167,76,2,293,1154,37,2,1,4,5,11,0,1,1,159900,206500
168,69,2,83,1622,35,0,2,1,18,4,10,0,1,137000,150000
169,65,2,82,1203,28,2,1,5,4,9,11,0,1,264000,76500
170,62,2,295,1158,41,0,1,4,18,22,0,0,1,58562,698000
171,62,2,82,1569,38,2,2,4,18,22,9,0,1,175000,192000
172,62,2,84,1583,45,2,2,4,18,22,9,0,0,0,829000
173,62,2,350,1158,41,0,2,4,18,16,10,0,1,50028,479500
174,62,2,84,1581,39,2,2,4,18,9,9,0,1,128000,295000
175,62,2,84,1581,33,2,1,4,3,17,9,0,1,295000,115000
176,62,2,81,866,41,2,1,2,2,4,5,0,1,52000,194500
177,62,2,86,1284,37,2,1,1,8,22,9,0,1,194000,475000
178,62,2,81,1622,40,2,2,2,18,22,9,0,1,165000,171900
179,56,2,84,1150,38,2,1,4,5,4,9,0,1,220000,265000
180,53,2,81,855,37,2,2,2,2,4,5,1,1,179000,96000
181,80,8,170,490,40,2,0,2,1,4,1,0,1,178535,63750
182,50,2,81,568,36,1,0,2,2,4,5,1,1,140000,97500
183,50,2,83,1622,42,2,2,4,18,22,5,0,1,63697,420000
184,50,2,82,1565,39,2,2,4,18,4,9,0,1,187000,175000
185,50,2,84,1581,41,2,2,4,18,22,9,0,1,151000,358500
186,50,2,81,1538,34,2,0,1,18,18,4,0,1,180000,94000
187,50,2,83,1579,35,2,2,4,18,4,5,0,1,264000,155000
188,50,2,84,1583,45,2,2,4,18,22,9,0,0,0,799000
189,50,2,84,1584,45,2,2,4,18,22,9,0,0,0,840000
190,50,2,83,1579,36,2,2,4,18,4,5,0,1,299900,155900
191,50,2,82,1564,33,1,0,1,18,22,9,0,1,375000,75000
192,50,2,295,1283,32,2,1,6,18,17,0,0,1,270000,178000
193,50,2,81,1554,34,2,1,1,18,4,5,0,1,160000,137500
194,50,2,82,1575,40,2,2,4,18,8,11,0,1,76000,284500
195,50,2,81,1533,43,0,2,2,18,8,12,0,1,36000,309750
196,50,2,82,1559,41,0,2,2,18,17,11,0,1,89000,249500
197,50,2,82,1561,41,0,2,2,18,4,9,0,1,59000,275000
198,50,2,81,1545,41,2,2,2,18,4,9,0,1,127000,171250
199,50,2,84,1581,39,2,2,4,18,22,9,0,1,172000,280000
200,50,2,295,1283,38,2,1,6,18,4,0,0,1,129000,417000
201,26,30,191,531,39,2,1,2,2,9,9,0,1,124000,105500
202,50,2,81,1622,41,0,2,2,18,9,12,0,1,27000,252000
203,50,2,82,1562,41,0,2,2,18,4,9,0,1,104000,241500
204,50,2,295,1283,32,2,1,6,18,22,0,0,1,300000,138000
205,50,2,81,1534,34,0,2,2,18,16,4,0,1,153000,98500
206,50,2,81,1552,35,0,2,2,18,16,5,0,1,147000,112500
207,50,2,81,1550,35,0,2,2,18,4,5,0,1,71000,93750
208,50,2,81,1558,40,2,2,2,18,18,5,0,1,87000,203000
209,50,2,82,1565,38,2,2,4,18,4,9,0,1,159000,219000
210,50,2,82,1622,22,2,0,4,18,22,9,0,1,239000,39750
211,50,2,81,1536,29,1,1,2,18,11,4,0,1,270000,64900
